		path0	|	path1	
0:	1092	795	|	802	505
1:	413	446	|	413	446	*	33	33
2:	413	446	|	413	446	*	33	33
3:	413	446	|	413	446	*	33	33
4:	413	446	|	413	446	*	33	33
5:	413	446	|	413	446	*	33	33
6:	413	446	|	413	446	*	33	33
7:	413	446	|	413	446	*	33	33
8:	413	446	|	413	446	*	33	33
9:	413	446	|	413	446	*	33	33
10:	413	446	|	413	446	*	33	33
11:	413	446	|	413	446	*	33	33
12:	413	446	|	413	446	*	33	33
13:	413	446	|	413	446	*	33	33
14:	413	446	|	413	446	*	33	33
15:	413	446	|	413	446	*	33	33
16:	413	446	|	413	446	*	33	33
17:	413	446	|	413	446	*	33	33
18:	413	446	|	413	446	*	33	33
19:	413	446	|	413	446	*	33	33
20:	413	446	|	413	446	*	33	33
21:	413	446	|	413	446	*	33	33
22:	413	446	|	413	446	*	33	33
23:	413	446	|	413	446	*	33	33
24:	413	446	|	413	446	*	33	33
25:	441	474	|	441	474	*	33	33
26:	413	446	|	413	446	*	33	33
27:	413	446	|	413	446	*	33	33
28:	413	446	|	413	446	*	33	33
29:	413	446	|	413	446	*	33	33
30:	413	446	|	413	446	*	33	33
31:	413	446	|	413	446	*	33	33
0:	413	446	|	413	446	*	33	33
1:	413	446	|	413	446	*	33	33
2:	413	446	|	413	446	*	33	33
3:	413	446	|	413	446	*	33	33
4:	413	446	|	413	446	*	33	33
5:	413	446	|	413	446	*	33	33
6:	413	446	|	413	446	*	33	33
7:	413	446	|	413	446	*	33	33
8:	413	446	|	413	446	*	33	33
9:	413	446	|	413	446	*	33	33
10:	413	446	|	413	446	*	33	33
11:	413	446	|	413	446	*	33	33
12:	413	446	|	413	446	*	33	33
13:	413	446	|	413	446	*	33	33
14:	413	446	|	413	446	*	33	33
15:	413	446	|	413	446	*	33	33
16:	413	446	|	413	446	*	33	33
17:	413	446	|	413	446	*	33	33
18:	554	636	|	554	636	*	82	82
19:	413	446	|	413	446	*	33	33
20:	413	446	|	413	446	*	33	33
21:	413	446	|	413	446	*	33	33
22:	413	446	|	413	446	*	33	33
23:	413	446	|	413	446	*	33	33
24:	413	446	|	413	446	*	33	33
25:	413	446	|	413	446	*	33	33
26:	413	446	|	413	446	*	33	33
27:	413	446	|	413	446	*	33	33
28:	413	446	|	413	446	*	33	33
29:	413	446	|	413	446	*	33	33
30:	413	446	|	413	446	*	33	33
31:	412	493	|	412	493	*	81	81
	732	|	527

